genre,genre_id
"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Abuse",344
"Nonfiction, History, War, Memoir, Journalism, Military Fiction, Military History",345
"Nonfiction, Travel, History, Indian Literature, Asia, Cities, Memoir",346
"Nonfiction, History, Memoir, Biography, Asia, War, Biography Memoir",347
"Fiction, Science Fiction, Dystopia, Classics, School, Literature, Novels",348
"Nonfiction, Biography, Memoir, Autobiography, Literature, Spanish Literature, Latin American",349
"Classics, Fiction, Historical Fiction, Literature, Novels, School, American",350
"Fiction, Classics, Historical Fiction, Literature, Novels, American, Literary Fiction",351
"Fantasy, Fiction, Mythology, Urban Fantasy, Audiobook, Science Fiction, Science Fiction Fantasy",352
"Fiction, Classics, Contemporary, Literature, Literary Fiction, Novels, Historical Fiction",353
"Fiction, Mystery, Fantasy, Young Adult, Horror, Gothic, Historical Fiction",354
"Chick Lit, Fiction, Romance, Humor, Mystery, Contemporary, British Literature",355
"Young Adult, Fiction, Middle Grade, Childrens, Realistic Fiction, School, Juvenile",356
"Fiction, Historical Fiction, Contemporary, Novels, Literary Fiction, Adult, Adult Fiction",357
"Science, Nonfiction, Biology, Genetics, Evolution, Popular Science, History",358
