,book_title,author,num_ratings,average_rating
405,Har någon sett mig någon annanstans?,Beate Grimsrud,40,3.38
406,Morwyn,John Cowper Powys,35,3.37
407,Deep Dream of the Rain Forest,Malcolm Bosse,50,3.36
408,Red Moon Rising,Billie Sue Mosiman,82,3.35
409,The Temple of Death: The Ghost Stories of A. C. & R. H. Benson,A.C. Benson,62,3.35
410,Devil Girls,Ed Wood,44,3.34
411,"The Word of God: Or, Holy Writ Rewritten",Thomas M. Disch,87,3.28
412,Kumari: Goddess Of Gotham,Amanda Lees,65,3.28
413,The Orphan of the Rhine,Eleanor Sleath,75,3.28
414,Beyond the Veil,Stevie Woods,55,3.27
415,الصوت روح,Huda Aweys,67,3.25
416,Don't Hassel the Hoff: The Autobiography,David Hasselhoff,91,3.22
417,Street Magic,Michael Reaves,64,3.22
